type,asset,assetName,description,assetCost,rarity
Place,"Home, Simple",Simple Home,"A very simple home, for instance a tiny flat in a large city. Enough to store some items or get some rest.",4,1
Place,"Home, Regular",Regular Home,"A decent home that has one special facility available, like a workshop, science lab or similar.",10,2
Place,"Home, Luxury",Luxury Home,"A luxury home with many amenities, including a butler (alive or servitor) and security systems.",30,4
Place,"Space Station, Small",Small Space Station,"A tiny space station, probably more of a hideout carved in an asteroid. It can house a tiny crew of around 5 people to rest and hide, and only dock a single ship.",35,4
Place,"Space Station, Common",Common Space Station,"A regular space station, mostly used for mining, maintenance or some other specialized use case. It has enough amenities to house up to 50 people.",120,5
Place,"Space Station, Large",Large Space Station,"A formidable space station that serves as a hub for trade, networking and other services. It can house up to 1000 people.",750,6
Place,"Space Station, Capital",Capital Space Station,"A major space port with various hangars, commercial districts, companies that operate within and up to a million people living here.",100.000,8
Ground Vehicle,Urban Car,Aerocruise XR,"Speed: 40 (2 for hex-combat)
Maneuverability: 2
Hull: 8
Armor Durability: 2
Passengers: 4

Equipped with an auto-pilot system (5 pool and 2 expertise).",1,1
Ground Vehicle,Electric Motorcycle,Voltrider 9,"Speed: 55 (3 for hex-combat)
Maneuverability: 3
Hull: 4
Armor Durability: 0
Passengers: 2",1,1
Ground Vehicle,All-Terrain Vehicle,Terrahauler,"Speed: 30 (2 for hex-combat)
Maneuverability: 2
Hull: 12
Armor Durability: 6
Passengers: 6

Equipped with off-road tires, reducing penalties for uneven ground.",2,2
Ground Vehicle,Armored Transport,Thunderstrike GX,"Speed: 20 (1 for hex-combat)
Maneuverability: 1
Hull: 16
Armor Durability: 12
Passengers: 8

Has an automatic turret system installed, using the profile of a Machine Gun, it has a pool of 6 with 3 expertise.",4,3
Ground Vehicle,Light Hovercraft,Skylance Viper,"Speed: 40 (2 for hex-combat)
Maneuverability: 1
Hull: 6
Armor Durability: 4
Passengers: 3

Hovers up to 5m above ground.",2,3
Ground Vehicle,Combat Mech,Terrawalker Mk-2,"Speed: 14 (1 for hex-combat)
Maneuverability: 2
Hull: 15
Armor Durability: 10
Passengers: 2

Can have up to two ship weapons from the following list installed:
Vulcan Cannon, Unguided Rockets, Small Laser, Missile Launcher",10,4
Ground Vehicle,War Tank,Exocore Pooma,"Speed: 15 (1 for hex-combat)
Maneuverability: 1
Hull: 18
Armor Durability: 15
Passengers: 3

Can have space ship weapons installed with a total capacity of 4.",10,4
Atmospheric Vehicle,High-Speed Jet,Eaglewing X-5,"Speed: 120 (6 for hex-combat)
Maneuverability: 2
Hull: 8
Armor Durability: 4
Passengers: 2

Can have one small space ship weapon installed (capacity 1 or less).",6,3
Atmospheric Vehicle,Military Gunship,Stormhawk Mk-II,"Speed: 90 (5 for hex-combat)
Maneuverability: 1
Hull: 12
Armor Durability: 8
Passengers: 12 (plus 2 in cockpit)

Can have up to three small space ship weapons installed (capacity 1 or less).",8,4
Atmospheric Vehicle,Hovercar,Nimbus C-1,"Speed: 50 (3 for hex-combat)
Maneuverability: 2
Hull: 7
Armor Durability: 3
Passengers: 4

Features a built-in AI navigation system and emergency auto-landing features.",4,3
Upgrade,Vehicle Upgrade: Speed,Speed Upgrade,"Increases the speed by 20% (round down). Can be installed up to two times. To calculate the speed for hex-combat, divide the speed by 20 and round up.",1,3
Upgrade,Vehicle Upgrade: Armor,Armor Upgrade,Provides the vehicle with +1 Primary Soak. Can be installed up to two times.,1,3
Upgrade,Vehicle Upgrade: Weapon,Arms Upgrade,Allows to install a regular firearm that will be fix-mounted in one direction - the weapon has to be paid separately. Can be installed up to two times.,1,3
