manufacturer,applicableTo,,,description,companyDetails,effects,exampleProductNames
,firearms,melee,armor,,,,
Galactic Empire Manufacturers,,,,,,,
<No-Name>,✓,✓,✓,"Generic and affordable, these weapons and armor are mass-produced or crafted by independent small scale manufacturers, prioritizing function over form.",-,"A No-Name weapon is 50% cheaper compared to list price, armor is 25% cheaper. Mods are unaffected.","Scavenger’s Resolve
Rustplate MK2
Dusthawk
Ironshade
Wastelander’s Edge"
Akura Micro,✓,✓,X,"Lightweight and elegant, Akura armaments are crafted with precision and functionality, blending style with performance.","Akura Micro traces its roots back to the valor—and vision—of Tamido Kenji, a decorated Japanese soldier who served on the very first intergalactic frontlines of humanity against the Hegemony. When he returned from the battle-torn outskirts of known space, Kenji poured his entire combat stipend into recruiting Aiden Covacz, a brilliant but obscure gunsmith whose aptitude for experimental design was legendary among those in the know.

What began as a small workshop dedicated to crafting a rifle capable of outmaneuvering the Hegemony’s nimble strike teams soon grew into a titan of weapons manufacturing. Each Akura firearm is steeped in Kenji’s firsthand knowledge of on-the-ground warfare—lightweight frames for increased mobility, recoil stabilizers for rapid-fire precision, and rugged designs that endure even under alien battlefield conditions. Covacz’s flare for ingenuity further refined the company’s offerings, integrating experimental power cells and modular attachments that allow for quick customizations in the field.

Today, Akura Micro is more than just a supplier; it’s a symbol of resilience. Frontline troops swear by the reliability of Akura weapons, not only for their cutting-edge performance but for the story they carry—of Tamido Kenji’s personal sacrifices and the dedication that flows through every rifle, sidearm, and heavy ordnance system bearing the Akura crest. Their products aren't just tools of war; they’re testaments to the enduring spirit of those who stand against the Hegemony’s relentless advance.","Reduce the AP required to attack by 1, but also decrease the base damage by 1. For Laser weapons, the base damage is decreased by 2 instead.","Kenji’s Blade
Whisperstrike 7
Petal
Phantom Edge
Aetherbolt"
Argonis Framewerks,X,X,✓,"Highly modular and adaptable, Argonis suits support rapid reconfiguration, perfect for operatives who value flexibility.","Born in the orbital shipyards of the Phoros Belt, Argonis Framewerks began as a humble manufacturer of modular exosuits for engineers, miners, and deep-space riggers. Every frame they built had to be adaptable—some days it shielded workers from solar flares, other days it braced them against ice shard storms or vacuum breaches. Efficiency meant survival, and Argonis mastered it.

Everything changed when their suits started appearing on frontier militias—modified and repurposed for combat. Mechanics had bolted on makeshift armor plating, reinforced joints, and old mining servos, turning work suits into battlefield rigs. Instead of fighting the bootleggers, Argonis leaned into it—and evolved.

Now, Argonis Framewerks offers a full range of modular armor systems tailored for tactical flexibility. Each suit is built around a robust “core frame,” covered in attachment rails, magnetic mounts, and quick-release hardpoints. Operators can swap out systems on the fly, turning a recon scout into a fireteam tank between missions—or even mid-fight, if prepared.

But there’s a catch: Argonis insists on control. While their mod system is incredibly versatile, it’s also proprietary. Only official Argonis-compatible mods can be slotted without voiding structural integrity—and they don’t come cheap. That hasn’t stopped professionals and smugglers alike from buying in, though. When adaptability is the difference between life and death, most don’t mind being a little locked in.

Their tagline? “Change Your Loadout, Change the Game.”","The armor has +1 mod slot, and may have a single mod installed outside of the usual mod compatibility list.

Additionally, changing a mod only takes five minutes and requires no Tech check, but the mod must be specifically bought from and for Argonis Framewerks systems.","AFW-R Modular Core
Snapframe Hardsuit
DeltaLink Harness
FlexForge Rig
Axiom Shiftplate"
Azerra Firearms,✓,X,X,"Known for proprietary tech, Azerra weapons offer modularity and innovation, favoring cutting-edge performance over aesthetics.","In the wake of high-profile antitrust investigations that rocked legendary manufacturers Colt and Heckler & Koch, both companies ultimately dissolved. Their remaining resources, along with a cadre of highly skilled engineers and designers, coalesced into a new venture: Azerra. By doubling down on proprietary technology and cultivating niche markets, Azerra neatly sidestepped the pitfalls that had ensnared its predecessors, while carving out a reputation for cutting-edge innovation and uncompromising quality.

Though some nostalgic customers still refer to certain Azerra models by their Colt or H&K heritage, the new brand has earned widespread recognition as one of the galaxy’s premier arms suppliers. Streamlined energy reactors, advanced recoil suppression systems, and custom alloy frames are just a few of the technological feats that set Azerra apart. Thanks to its forward-thinking approach, Azerra continues to thrive—uninhibited by legal scrutiny and propelled by a singular vision of modernizing the battlefield, one weapon at a time.","Add “Shredding (2)”. If the weapon already has it, increase it by +1.","Apex Synergy
Striker
Recon Assassin
Coreframe X.1
Shredspire"
Callisto,✓,✓,X,"Oversized and imposing, Callisto’s guns deliver raw power with a rebellious flair, making them favorites among collectors and outlaws.","Callisto Industries had one of the most unconventional origins in the weapons manufacturing world. It began not as a company, but as a single criminal gunsmith named Amy Callisto. Known as a prodigy with metal and circuitry, Amy was the secret weapon of a notorious gang in Capitol City, crafting custom firearms that tipped the scales in a brutal five-year gang war. Her designs—sleek, lethal, and disturbingly innovative—earned her a reputation in the city’s underworld as the go-to source for high-end weaponry.

When the gang war ended, Amy’s creations began to surface outside the shadows. Videos showcasing her weapons—compact carbines with unparalleled accuracy, pistols with modular smart attachments, and rifles capable of adaptive targeting—caught the attention of gun enthusiasts across the sector. As viral reviews spread like wildfire, a surprising market demand emerged for her ""outlawed"" designs.

Rather than lay low, Amy Callisto seized the moment. With a smirk and zero remorse, she founded Callisto Industries, openly framing her criminal past as a bold origin story. In interviews, she referred to her gangland work as her “R&D phase,” brushing off the darker implications with irreverent charm. By the time authorities tried to investigate, the statute of limitations had expired, leaving her free to legally capitalize on her infamous history.

Today, Callisto Industries is a household name in both military and civilian markets, producing high-performance weapons with an unmistakable edge. Each product carries a trace of Amy’s renegade spirit, blending cutting-edge tech with the gritty, rebellious flair that made her designs famous in the first place. To this day, Callisto’s slogan, “Forged in Chaos, Built for Perfection,” serves as a wry nod to its infamous beginnings.","Gain a free trigger that can only be spent on the weapon's trigger options.

A Callisto firearm has one less mod slot.","Chaos Fang
Outlaw’s Wrath
Rogue Inferno
Reaver Pulse
Black Talon"
Cerberus Armory,✓,✓,X,Cerberus Armory is known for tactical weapons that prioritize non-lethal effectiveness while offering versatile battlefield utility.,"Cerberus Armory began as a humanitarian initiative on Mars, focused on developing non-lethal crowd-control technology during the early years of human expansion. Founded by idealistic inventor Dr. Julian Trevane, the company initially created things like kinetic rubber pellets and electric taser darts for law enforcement and colony security forces.

Over time, Cerberus saw its technology adopted by militaries, which appreciated the balance between non-lethal engagement and adaptable lethality. Their signature weapons, which feature stun modes, became staples for special forces units and peacekeeping missions. Now a respected name in the industry, Cerberus continues to innovate, blending ethical considerations with practical battlefield applications. Their slogan, “Pride In Mercy,” reflects their commitment to versatile, non-lethal engagement.","Before attacking, you can decide to perform a non-lethal attack instead, dealing -2 damage but gaining the ""Incapacitating"" and ""Stunning"" trigger options.

The weapon has one less mod slot. ","Guardian Helix
Resolute Disruptor
Tempest Enforcer
Nullstrike Taser
Pacifier Loop"
Ekris Companions,✓,✓,X,"Stylish and thematic, Ekris weapons draw inspiration from humanity’s martial history, offering both artistry and combat readiness.","Ekris Companion began as a passion project—a limited collection of firearms created exclusively for gun enthusiasts, where aesthetics took precedence over raw functionality. Inspired by mankind’s rich martial heritage, the initial designs featured intricate craftsmanship and unique embellishments. The base frames were sourced from Azerra models, but the Ekris team heavily modified them with striking outer layers, ornamental engravings, and thematic elements that blurred the line between weaponry and art.

Originally intended as a one-off collector’s series, the project gained unexpected traction when its marketing campaign went viral. Enthusiasts clamored for more, leading to a second production run. Then a third. What started as a niche collection quickly became a cultural phenomenon, and the creators of Ekris Companion made the decision to transition into a full-fledged business.

Today, Ekris Companion specializes in themed firearms that pay homage to humanity’s storied history of combat. Each line showcases a distinct cultural influence, from Samurai-inspired pistols adorned with cherry blossom engravings and katana-like grips to Viking-themed rifles featuring Nordic runes and ship prow-style muzzle designs. Even the Spartan series, with its bold bronze finishes and shield-like accents, channels the unyielding spirit of ancient warriors.

Ekris Companion often partners with established manufacturers to provide the functional base of their weapons, allowing their in-house designers to focus entirely on aesthetics and thematic modifications. The result is a collection of firearms that are not just tools of defense but statements of artistry and heritage. Their motto, “Honor the Past, Arm the Present,” perfectly encapsulates their dedication to blending history with innovation.","If you actively use the weapon, you obtain an extra edge point for that encounter - if it's not spent, it is lost.","Spartan Phalanx
Samurai Dawn
Viking Stormbreaker
Gladiator’s Arc
Nomad’s Vow"
Exocore,✓,X,X,"Rugged and reliable, Exocore products are designed for Zero-G and hostile environments, focusing on durability over appearance.","When humanity first began to establish permanent settlements in the outer reaches of the solar system, life was harsh and unforgiving. The vast distance from Mars and Earth brought not only isolation but instability, leading to the rise of piracy and gang wars among the scattered communities of belters. In these perilous environments, where many worked in Zero-G conditions or aboard fragile stations where a single stray bullet could mean disaster, necessity sparked innovation. Resourceful belters began crafting firearms specifically tailored for their unique challenges—simple, reliable, and capable of operating seamlessly in microgravity or vacuum-sealed conditions.

Over a century later, Exocore has risen from these rugged beginnings to become a major force in the solar economy. While primarily a mining corporation, Exocore also holds a dominant position in the production of Zero-G equipment, including firearms. Their weapons, true to their origins, are designed with uncompromising functionality in mind. Built to withstand the toughest conditions, Exocore arms are easy to maintain, perform flawlessly in extreme environments, and prioritize practicality over ornamentation.

Despite their utilitarian nature, Exocore’s firearms have developed a cult following. Their blocky, industrial aesthetic—born of necessity rather than design intent—has come to symbolize the grit and resilience of those who live and work beyond the inner planets. In the belt and beyond, Exocore’s motto, “When Function Is the Only Fashion,” resonates deeply, serving as a reminder of the ingenuity and survival instinct that keeps humanity thriving in the most hostile corners of space.",Functions without drawbacks in vacuum or low-G environments. Reduce the difficulty to repair or mod the weapon by 1. ,"Voidhammer
ZeroG Sentinel
Beltforged Breaker
Astrocarbine
Eclipse Core"
Exocore,X,X,✓,See above.,See above.,"Your armor is automatically considered Sealed without taking up a mod slot (only if ""Sealed"" is an option for that armor), and does not lose the benefits of the quality when the durability of the armor drops to 0.","Exoshell
Voidwalker Suit
Lifeline
Spacer's Friend
Outerskin"
Ferroclave Systems,X,X,✓,"Heavily reinforced and brutally effective, Ferroclave armor is built for those who'd rather tank the hit than dodge it.","Ferroclave didn’t begin in a lab or corporate boardroom. It started on a derelict freighter called the Mulefist, drifting in dead space, its crew outgunned and out of options. After barely surviving an ambush by Hegemony patrols, the surviving pirates and scavengers decided they’d had enough of fragile armor plates and flashy shield rigs.

So they got to work—with welders, plating ripped from hulls, old reactor shielding, and an unhealthy disregard for ergonomics.

The first Ferroclave suits were nightmares of bolted scrap, powered by jury-rigged servos and sheer spite. They were loud, clunky, and barely mobile—but when one of them tanked a plasma bolt to the chest and kept swinging, the message was clear: sheer mass works.

Over time, the designs were refined. Scrap was replaced with structured alloys, servos were balanced, and the “junk aesthetic” became a design signature rather than a necessity. Ferroclave Systems was born from the chaos, evolving into a legitimate manufacturer with deep roots in outlaw and mercenary circles. Their suits are still heavy, still loud, but now they’re smart about it—using kinetic absorption foam, modular shock plating, and aggressive reinforcement where it counts.

Ferroclave armor is for those who don’t dodge, who walk through gunfire and throw enemies across the room. Their motto, painted in bold warning-stencil font across every backplate, says it all:
""IF YOU HEAR THIS, IT’S ALREADY TOO LATE.""","Suffer a -2 pool penalty to Defense, but once every two rounds you can declare a single hit against you as completely negated. Does not work against weapons with the destructive quality, and you have to expend 3 points of armor durability to use the effect.","Rivetmaw Shell
Anvil Vest Mk.III
Ironhowl Frame
Deadzone Plating
Coresuit"
Forge Titan Dynamics,✓,X,X,"Forge Titan Dynamics builds heavy-duty, high-impact firearms designed to deliver unmatched firepower and durability.","Originally a manufacturer of industrial tools for asteroid mining operations, Forge Titan Dynamics made a dramatic pivot during the Hegemony War, reengineering their mining equipment into makeshift weaponry for resistance fighters. Their first designs—improvised assault rifles and machine guns—were crude but devastating, and their success in the field earned them a reputation as purveyors of sheer destructive power.

After the war cooled down, Forge Titan transitioned into a dedicated arms manufacturer, focusing on heavy infantry weapons and large-scale ordnance. Their designs prioritize durability, heat resistance, and overwhelming firepower, appealing to mercenaries, demolition squads, and anyone looking to dominate the battlefield. With a name evoking strength and resilience, Forge Titan Dynamics operates under the banner of “Built to Break the Unbreakable.”","The weapon spends twice the ammo for each shot fired.

This also means that the Burst and Full Auto qualities are doubled.

Increase the base damage by +2.","Thunderbreaker Cannon
Atlas Devastator
Titan’s Maw
Vulcan Stormbringer
Ragnarok Obliterator"
