2d20roll,outcome,outcomeDescription,repairInfo
2,Critical Shutdown,"All cyberware systems shut down completely for 24 hours. The character is incapacitated during this time. Permanent damage to 2 pieces of cyberware, requiring expensive repairs or replacements.","Tech d5 check per damaged piece, requiring 4 hours of work. Requires medical access.
Materials: Equal to 1/10th of the Cyberware's original price."
3,,,
4,,,
5,System Overload,"Severe electric feedback damages both the cyberware and the character. The character takes 2d6 damage (ignoring armor), and all cyberware functions at reduced efficiency (-2 penalty to all related rolls) until repaired.","Tech d4 check to restore full functionality, requiring a downtime activity. Requires medical access.
Materials: 250 Credits."
6,,,
7,Critical Malfunction,"One piece of cyberware becomes permanently disabled until repaired. The character suffers 1d6 damage, and other systems experience random malfunctions (as per the GM's discretion) until the primary system is repaired.","Tech d4 check to restore the disabled piece, requiring 4 hours of work. Requires medical access.
Materials: Equal to 1/10th of the Cyberware's original price."
8,,,
9,,,
10,System Glitch,"Multiple cyberware systems experience severe glitches. The character suffers a -2 penalty to all actions involving cyberware for the next 12 hours. One system becomes unstable, requiring attention within one hour to avoid permanent damage.","Computers d3 check to stabilize the unstable system, requiring 15 Minutes of work."
11,,,
12,,,
13,Feedback Loop,"The character experiences intense pain as their nervous system is overwhelmed by cyberware feedback. They suffer 1d6 damage (ignoring armor), and all actions involving cyberware are made with a -2 penalty for the next 6 hours.","Tech d2 check to recalibrate the system and end the feedback loop, requiring 10 Minutes of work."
14,,,
15,Temporary Shutdown,"One piece of cyberware shuts down for 1d6 hours, causing inconvenience but no lasting damage.","Tech d2 check to restart the system, requiring 5 Minutes of work."
16,,,
17,,,
18,System Lag,"Cyberware operates at reduced efficiency, causing a -1 penalty to related rolls for the next 4 hours. The character experiences slight discomfort or disorientation.","Computers d2 check to fix the lag, requiring 5 Minutes of work."
19,,,
20,,,
21,Minor Glitch,"One piece of cyberware momentarily malfunctions, causing a -2 penalty to related rolls for the next 2 hours. No permanent damage, but the glitch is frustrating.","Tech d2 check to correct the glitch, requiring 5 Minutes of work."
22,,,
23,,,
24,Sensory Overload,"The character experiences a brief but intense sensory overload, suffering a -1 penalty to all rolls for the next hour. The cyberware returns to normal function afterward.",No repair possible or needed.
25,,,
26,Partial Shutdown,"One piece of cyberware shuts down partially, reducing its effectiveness by half for 12 hours.","Tech d3 check to restore full functionality, requiring 30 Minutes of work."
27,,,
28,,,
29,Corrupted Data,"One cyberware system's data becomes corrupted, leading to erratic behavior. The character suffers random penalties (-1 to -3 as per the GM's discretion) to related rolls for 6 hours or until the system is recalibrated.","Computers d3 check to clean and restore data, requiring 10 Minutes of work."
30,,,
31,Nerve Spike,The character experiences intense nerve pain due to a malfunction. They suffer 2d6 damage and are stunned for 1d4 rounds. One cyberware system becomes unreliable - you immediately have to assign 4 points across this table. You remove these points when that system is repaired.,"Tech d4 check to fix the unreliable system, requiring 1 hour of work. Medical access needed."
32,,,
33,,,
34,Cybernetic Seizure,"The character's cyberware causes a violent seizure, incapacitating them for 1d6 rounds and causing 1d6 damage. Two random systems are temporarily disabled until repaired.","Tech d4 check for each disabled system to restore them, requiring 30 Minutes of work. Medical access needed."
35,,,
36,,,
37,Implant Rejection,"The character's body begins to reject one piece of cyberware. They suffer 3d6 damage, and the affected cyberware becomes permanently disabled until completely replaced by a new one (can be the same model).",Requires complete surgery (as a downtime activity) to remove the old cyberware and install the new one.
38,,,
39,System Cascade Failure,A chain reaction causes all cyberware to malfunction simultaneously. The character takes 2d6 + 7 damage and loses all benefits of their cyberware until extensive repairs are made. This may require specialist help and significant downtime.,"Tech d5 check to address the cascade failure. Full repairs require one downtime activity per piece of cyberware, and medical access is required."
40,,,
