talent,description,representation
Air Of Authority,"Once per round, at any time, you may lose 2 AP to provide an ally with 3 AP.",2
Alertness,Doubles the trigger cost of a Riposte against you during a Parry action.,2
Anatomical Insight,You do not suffer penalties when treating unfamiliar species.,1
Anticipation,"Once per session, you may declare that your character had prepared for the current situation, and may have spent up to one hour for said preparation.",2
Archer,"You are trained in using bows more proficiently. The Injuring quality increases by one level, and you need one less AP to reload and attack.",0
Assassin,"If you attack an unaware target from out of stealth, you can increase the ""Lethal"" quality of your weapon by +6. If it doesn't have it, it gains Lethal (6).",3
Astrogation,"When using FTL drives and making a Science check, you may spend one Trigger each to increase the range of the jump by +50%. If you plan to perform several chained jumps, you only make a single roll and apply the bonus to all jumps.",3
Big Boom,Increase the Area quality of a heavy weapons and grenades by 50% by spending 2 Triggers. Not stackable.,1
Biofeedback Shock,You can spend 3 Access Tokens against implanted network devices to immediately cause 12 damage (ignoring soak and armor) against the user.,1
Blackmail,"Once per session, you may produce blackmail about one NPC and use it against them to coerce them to do something for you.",2
Blend In,"If you are in a public space among bystanders or crowds, others suffer a -5 pool penalty to notice you.",2
Bountyhunter's Guild,"Once per adventure, you may pull a target from the list of wanted individuals. You obtain a target that is close to you, and that yields 1d6 Assets upon execution. You may cooperate on the execution, and any accomplices gain 1 Asset in addition.",1
Brace For Impact,"You unlock a new action for ship combat: You can spend 4 AP to brace the systems of your ship for impact. Perform a Tech d3 roll. If you succeed, reduce the pool of all malfunction rolls for this and the next round by 3. ",1
"Breath In, Exhale, Fire","If you can see your target, you can perform this action by spending 3 AP to gain a free success, trigger or complication on your next shot against them.
If you perform any other action in the meantime, the benefit is lost.",2
Call Target,"You may spend 4 AP and perform a Command d2 check. If you succeed, all attacks against your called target gain a free Trigger for this and the next round.",1
Cash Flow,"After each adventure, you obtain 2d6 * 100 Credits from royalties or dividents.",3
Charge,"You can perform a melee attack and increase the AP costs by +2 to first move a number of squares equal to your speed. If you moved at least 5 squares to reach your target, you gain 2 free triggers on the attack.",1
Chart Comprehension,"Once per adventure, you may perform an Investigation or Sensors d3 check. On a success, you become aware of a rare point of interest that may hold secrets or riches.",1
Climber,"You reduce the difficulty to climb by 2 and halve the time it takes to climb. Additionally, reduce the distance class of any fall by 2.",1
Combat Clarity,"Once per encounter, you may immediately gain 2 AP.",2
Combat Docking,"Halve all pool penalties of the Dock action, and your crew gains +2 pool on their first attack upon boarding.",2
Concealed Approach,"Enemies suffer -4 pool to discover your vehicle when you have means to hide it (e.g. a space ship inside a gas giant, or a car in the woods).",2
