career,description,startingSkills,startingEquipment
Space Marine,"The Space Marine is an elite soldier, equipped with advanced armor and weaponry designed for combat in zero-g, confined environments, like space ships and stations. Trained for boarding actions, they excel in heavy combat and can withstand the rigors of space warfare.","Zero-G: 3
Firearms: 2
Melee: 2
Defense: 2
Survival: 1","Weapons (incl. Mods) worth 250 Credits.
Armor (incl. Mods) worth 10.000 Credits.
Cybernetics worth 1000 Credits."
Infantry,"Infantry soldiers are the backbone of any military force, versatile and adaptable. They are well-trained in a variety of weapons and tactics, capable of holding the line in ground battles, urban warfare, or planetary invasions. Infantry can adapt to many combat situations and provide essential support in larger operations.","Firearms: 4
Heavy Weapons: 2
Athletics: 2
Survival: 1
Melee: 1","Weapons (incl. Mods) worth 2.000 Credits.
Military-Grade Combat Suit and mods worth 400 Credits.
Cybernetics worth 2.000 Credits.
10 Assets."
Field Medic,"The Field Medic is a crucial support class, skilled in battlefield medicine and emergency surgery. They can stabilize wounded comrades and treat injuries in the field. Field Medics keep their team alive in the most dangerous situations, making them indispensable in prolonged engagements.","Medicine: 4
Survival: 2
Tech: 2
Empathy: 1
Defense: 1","Weapons (incl. Mods) worth 500 Credits.
Medi Suit and mods worth 400 Credits.
Engram Reader and medicine items worth 400 Credits.
15 Assets."
Scientist,"Scientists are the intellectual powerhouses of the group, possessing deep knowledge in various scientific fields such as biology, chemistry, physics, and xenology. They can analyze data, conduct experiments, and apply scientific principles to solve complex problems, often providing innovative solutions to technical challenges.","Science: 4
Tech: 2
Computers: 2
Xenology: 2","Regular items worth 2000 Credits.
Regular Home with Lab or Workshop.
Servitor Drone.
15 Assets."
Agent,"Agents are masters of stealth, deception, and infiltration. Trained in espionage, covert operations, and close-quarters combat, they excel in missions that require subtlety and precision. Agents are the go-to class for intelligence gathering, sabotage, and high-stakes undercover operations.","Infiltration: 3
Con Arts: 2
Firearms: 2
Investigation: 2
Skullduggery: 1","Weapons (incl. Mods) worth 1000 Credits.
Civilian Combat Suit and mods worth 400 Credits.
Espionage items worth 2000 Credits.
Cybernetics worth 1000 Credits.
10 Assets."
Hacker,"Hackers are experts in digital warfare, capable of breaching security systems, manipulating data, and taking control of enemy technology. Whether it’s disabling security grids or turning enemy drones against their owners, Hackers play a critical role in modern warfare by controlling the digital battlefield.","Computers: 4
Tech: 3
Skullduggery: 2
Infiltration: 1","Weapons (incl. Mods) worth 500 Credits.
Hacking items worth 1000 Credits.
Cybernetics worth 2000 Credits.
15 Assets."
Celebrity,"The Celebrity is a master of influence and charisma, using their fame and public image to sway opinions, rally support, or manipulate social situations. Whether as a diplomat, spokesperson, or socialite, they can open doors that others cannot and sway the masses with their presence.","Con Arts: 4
Politics: 2
Empathy: 2
Streetwise: 2","Luxury Home.
Servitor Drone or 5000 Credits.
Hover Car.
15 Assets."
Smuggler,"Smugglers are resourceful and cunning, specializing in the transport of illicit goods across borders and through blockades. They excel in evasion, negotiation, and black market dealings, making them invaluable for acquiring rare items or navigating the criminal underworld.","Pilot: 3
Skullduggery: 3
Streetwise: 2
Con Arts: 2","Weapons (incl. Mods) worth 500 Credits.
Any vehicles / space ships worth 10 Assets (including upgrades or modules).
20 Assets."
Enforcer,"The Enforcer is a heavy-hitting combatant skilled in enforcing the law (or breaking it). They are the muscle of the group, adept at intimidation, melee combat, and handling high-risk confrontations. Enforcers excel at maintaining order or imposing their will through sheer physical presence.","Melee: 4
Defense: 2
Command: 2
Survival: 2","Weapons (incl. Mods) worth 1000 Credits.
Motorcycle or Urban Car.
Any one armor (incl. Mods) worth 1000 Credits.
Cybernetics worth 3000 Credits.
8 Assets."
Commander,"Commanders are natural leaders and strategists, capable of coordinating complex operations and inspiring their troops. They excel in tactical planning, resource management, and battlefield command, often turning the tide of battle through decisive leadership.","Command: 4
Politics: 2
Firearms: 2
Defense: 1
Sensors: 1","Weapons (incl. Mods) worth 1000 Credits.
Any one armor (incl. Mods) worth 1000 Credits.
Any vehicles / space ships (incl. modules) worth 15 Assets.
5 Assets."
