career,talent,description,Tier
Space Marine,Zero-G Finesse,You ignore penalties on physical actions resulting from Zero-G environments.,0
Space Marine,Impenetrable Shell,The weapon qualities Penetrating and Shredding are halved when used against you.,0
Space Marine,Second Skin,Ignore the speed penalty while wearing armor and increase the maximum durability of worn armor by +25%.,0
Space Marine,Martial Artist,"Treat your unarmed attacks like a 2-handed weapon (concerning Heft) and add the Murderous trigger option. Additionally, you can parry real weapons even while being unarmed.",1
Space Marine,Lockpicker,You reduce the difficulty to pick mechanical and technological locks by 1.,1
Space Marine,Point Blank,"You reduce the difficulty increase of your ranged attacks while being near melee fighters to +1 instead of +2. Additionally, deal +2 damage (with ranged attacks) against targets within range 2.",2
Space Marine,Combat Clarity,"Once per encounter, you may immediately gain 2 AP.",2
Space Marine,Riposte,"When you perform the Parry action, you only require one Trigger to perform the counter attack, and you may spend surplus triggers (after the needed Trigger for the counter attack) as usual to activate talents or your weapon's trigger options.",3
Space Marine,Defensive Posture,"If you attempted a parry or dodge but still get hit, you gain +2 soak.",3
Space Marine,Training: Constitution,"Gain +1 Constitution. If you already have 8 Constitution (not counting cybernetic enhancements), you may increase another attribute instead.",4
Space Marine,Alertness,Doubles the trigger cost of a Riposte against you during a Parry action.,5
Space Marine,Tactical Advance,"Once per round, when you perform a reload or attack action with a firearm, your free movement becomes half your speed (round up) instead of just 1.",5
Space Marine,Exploit Weakspot,"You may give yourself a -2 pool penalty before your melee attack, but the attack gains Penetrating (+3) and Murderous. The latter applies even if the target is aware of the attack.",6
Space Marine,Iron Skin,Gain +1 soak and +4 maximum health.,6
Space Marine,Training: Strength,"Gain +1 Strength. If you already have 8 Strength (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Infantry,Recoil Control,"When shooting in Burst or Full Auto mode, you require 40% less ammo (round up).",0
Infantry,Pull Together,"Once per day, you can declare any one wound you are suffering from and ignore its effects for the remainder of that day (so long as it is technically possible - you cannot ignore that you lost an arm).",0
Infantry,Directional Explosions,"When using a heavy weapon or grenade, after determining the affected Area of a weapon with that quality, you can remove 2 affected squares and instead affect 2 other squares, so long as they are connected to the remaining Area.",0
Infantry,Far Shot,"Increase the upper ranges (optimal and maximum) of all firearms you use by 30%. When shooting within max range, you suffer -1 pool penalty instead of +1 difficulty. ",1
Infantry,Cover Ducking,"Once per round, if you benefit from cover, you may attempt to dodge that attack without AP cost.",1
Infantry,Quick Reload,"Reduce the AP costs to reload any firearms weapon by 1.

For firearms that load individual shells, you instead load 2 shells per action spent.",2
Infantry,Sprinter,You passively gain +3 speed.,2
Infantry,Cyberadaption Training,You gain +4 Cyberimmunity.,3
Infantry,Tough As Nails,Ignore the first severity 1 or 2 wound of each day by simply discarding it.,3
Infantry,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",4
Infantry,Effective Demolition,"When using heavy weapons or grenades, you gain one free trigger on each roll to attack.",5
Infantry,Trigger Discipline,"If you successfully attack, you may convert up to 2 surplus successes into one trigger each instead.",5
Infantry,Embracing Chaos,"You may perform a new reaction during combat: If you get affected by a weapon with the ""Area"" quality, you may spend 2 AP to halve the damage before applying it to your armor and health.",6
Infantry,Speed Trigger,"Once per round, you can spend 2 Triggers on a firearms related attack (so long as you do not shoot in Burst or Full Auto) to immediately perform a free single shot against the same target - you have to roll the attack as usual and spend additional ammo.",6
Infantry,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Field Medic,Field Doctor,Medicine checks to provide First Aid only require 5 instead of 8 AP.,0
