systemType,systemName,capacityMultiplier,capacityModifier,powerRequirementMultiplier,powerRequirementModifier,description,assetCostMultiplier,assetCostModifier,rarity
Power Reactor,Auxilliary Capacitator,0,1,0,-9,"Adds +9 Power generated, but requires recharging of the batteries after 48 hours of providing energy.",0,1,3
,Small-Scale Generator,0,1,0,-6,"Adds +6 Power generated, but requires new fuel after 2 weeks of ship use, costing 300 credits.",0,1,3
,Fission Generator,0,3,0,-12,"Adds +12 Power generated, but requires new fuel rods after 6 months of ship use, costing 5.000 credits.",0,3,4
,Fusion Generator,0,5,0,-12,"Adds +12 Power generated, requiring new material every four weeks at negligible cost.",0,4,5
,Antimatter Generator,0,10,0,-100,"Adds +100 Power generated, but requires new antimatter after one month of ship use, costing 20.000 credits.",0,20,6
Thruster Upgrade,Ion Thrusters,0.125,0,0.25,0,Adds +1 speed.,0.5,0,3
,Chemical Thrusters,0.083,0,0,0,Adds +1 speed and +1 maneuverability. Can only be used for 5 rounds total before needing to be recharged at a station.,0.33,0,3
,Hall Effect Drive,0.125,0,0.5,0,Adds +1 speed and +1 maneuverability.,0.5,0,4
,Antimatter Drive,0.125,0,1,0,Adds +3 speed and +1 maneuverability.,1,2,6
FTL Drive,Burst Vector,0.1,2,1,0,"Charge-Time to Maximum: 1 Hour.
Maximum Travel Distance: 5 Light Years.",2,0,4
,Traveller,0.1,2,0.5,0,"Charge-Time to Maximum: 5 Hours.
Maximum Travel Distance: 10 Light Years.",1,0,4
,Long Haul,0.167,2,1,0,"Charge-Time to Maximum: 2 Hours.
Maximum Travel Distance: 25 Light Years.",1,0,5
Armor Plating,Steel Plates,0.1,0,0,0,Adds +50% Armor Durability.,0.25,0,3
,Titanium Alloy,0.1,0,0,0,"Adds +1 primary and secondary Soak and +25% Armor Durability.

* Cannot be combined with Steel Plates.",0.5,0,3
,Carbon Nanotube Layers,0.1,0,0,0,Adds +3 primary Soak.,0.5,0,4
,Reactive Armor,0.1,0,0,0,"Provides +5 primary Soak against missiles, rockets and torpedoes.",0.33,0,4
,Reflective Coating,0.067,0,0,0,"Lasers attacking you cannot use their ""Penetration"" trigger option.
The downside of this coating is that your ship lights up like a flare in other ships' scanners.",0.33,0,4
Structure,Structural Enhancements,0.083,0,0,0,Gain +25% Hull (round up).,0.25,0,3
,Redundancy Systems,0.1,0,0.33,0,Halve the cumulative malfunction-roll modifiers from suffered subsystem malfunctions.,0.5,0,3
Defensive Systems,Chaff Dispersal Pods,0,1,0,0,"Charges: 3
Can be launched to perform active defense against an incoming guided rocket or torpedo (any projectile that uses the ""Traveling"" quality) using the Computers skill.",0,1,3
,Energy Dispersion Mesh,0,2,0,3,Can be used once per round to perform an active defense against incoming laser attacks using the Computers skill.,0,1,4
,Projectile Evaporator,0,1,0,2,"Can be fired to perform active defense against an incoming projectile attack (vulcan, cannon, railgun, unguided rocket etc.).",0,1,4
Shield Systems,Impact Absorption Array,0.05,0.5,0.5,0.5,"Shield Points = Base Hull / 10 + 4
Regeneration = 25% per round (round up)",0.5,0,4
,Aegies Defense Grid,0.067,5,1,0,"Shield Points = Base Hull / 2
Regeneration = 25% per round (round up)",0.75,0,5
,Vanguard Shield System,0.1,10,2,0,"Shield Points = Base Hull
Regeneration = 15% per round (round up)",1,0,6
,Paladin Barrier Network,0.1,10,4,0,"Shield Points = Base Hull * 2
Regeneration = 10% per round (round up)",3,0,7
Sensors,Basic Sensor Array,0,0,0,1,"Allows to perform Sensor actions against uncloaked ships and objects within Line Of Sight.
Active Scanner Range: 20.",0,1,3
,Advanced Sensor Array,0,2,0,2,"Allows to perform Sensor actions against uncloaked ships and objects within Line Of Sight.
Reduces AP cost of all Scanner operations by 1.
Active Scanner Range: 50.",0,2,4
