1d10,origin,description,bonus
1,Wasteland World,"You hail from a harsh, desolate planet where survival is a daily struggle. Resources are scarce, and the environment is unforgiving, forcing you to rely on your wits and resilience to endure. Whether you grew up scavenging ruins or defending your territory from raiders, your experiences have shaped you into a resourceful and hardened individual.",Gain one Tier-0 talent from the Field Medic or Criminal careers.
2,Industry World,"Born in the heart of a sprawling industrial planet, your life has been shaped by the relentless grind of factories and production lines. The air is thick with smog, and the landscape is dominated by towering machinery. You’ve grown up understanding the value of hard work and the cost of progress, often at the expense of the environment and the people around you.",Gain one Tier-0 talent from the Engineer or Drone Rigger careers.
3,High Society World,"Raised in the lap of luxury, you come from a world of wealth, privilege, and influence. High Society Worlds are centers of culture, politics, and power, where status means everything. Your upbringing has provided you with education, connections, and an understanding of the complex social hierarchies that govern the elite.",Gain one Tier-0 talent from the Diplomat or Celebrity careers.
4,Asteroid Society,"You come from a small, tight-knit community that inhabits an asteroid or a cluster of asteroids. Life in such a confined and isolated environment requires cooperation, ingenuity, and a strong sense of community. You’ve grown accustomed to the challenges of low-gravity living, resource management, and the ever-present threat of cosmic dangers.",Gain one Tier-0 talent from the Pirate or Commander careers.
5,Alien World,"You were born and raised on a world inhabited by alien species, either as a human among them or as one of their own. This unique upbringing has given you insights into cultures, technologies, and ways of life that are vastly different from the human norm. You may be fluent in alien languages, customs, or technologies, and you carry the influence of this diverse environment with you.",Gain one Tier-0 talent from the Explorer or Agent careers.
6,Old World,"You come from one of the first planets of mankind, such as Earth or Mars, where civilization has deep roots and a rich tapestry of history and culture. These worlds are marked by ancient architecture, a mix of old and new technologies, and a complex blend of diverse cultures that regularly clash in small-scale skirmishes. Growing up in an Old World environment, you’ve been immersed in tradition, learned to navigate intricate social structures, and experienced the enduring legacy of humanity’s first steps into the cosmos.",Gain one Tier-0 talent from the Detective or Infantry careers.
7,Underworld Hotspot,"You grew up in the shadows of society, where crime, smuggling, and black-market dealings are the norm. An Underworld Hotspot is a place where the law is weak, and the strong thrive on their wits and connections. You’ve learned to navigate this dangerous environment, becoming adept at survival, negotiation, and perhaps bending the rules to your advantage.",Gain one Tier-0 talent from the Smuggler or Enforcer careers.
8,AI World,"Your home is a planet where advanced robots and AI systems dominate daily life, managing everything from infrastructure to personal services. Though these machines lack true consciousness, they are deeply integrated into society. Growing up in an AI World, you’ve become accustomed to interacting with advanced robotics, and you may have a unique understanding of their capabilities and limitations.","Gain one Tier-0 talent from the Scientist, Tactical Enhanced Forces or Hacker careers."
9,Distant Colony,"Born in a remote outpost far from the core worlds, you’ve lived on the frontier of human expansion. Distant Colonies are often self-sufficient and isolated, requiring settlers to be adaptable and resilient. You’ve grown up in a community where everyone has a role to play, and the harsh conditions have forged a strong sense of independence and resourcefulness in you.",Gain one Tier-0 talent from the Bounty Hunter or Trader careers.
10,Travelling Spaceship,"Your origin lies in the vastness of space, aboard a traveling spaceship that serves as your home. Whether it’s a trade vessel, a research ship, or a nomadic fleet, you’ve spent your life on the move, adapting to the ever-changing starscapes. Life aboard a ship has made you versatile, quick to learn new skills, and accustomed to the confined, close-knit quarters of space travel.",Gain one Tier-0 talent from the Space Marine or Navy careers.
