armorType,armorName,durability,primarySoak,secondarySoak,qualities,modLimit,moddingOptions,specialRules,cost,rarity
Hardened Cloth / Coat,GalenTek Resilient Weave Coat,-,1,1,Concealed,0,-,,200,0
Civilian Combat Suit,CivSec Urban Defender Suit,6,3,2,,1,"Advanced Materials
Audio Suite
Ballistic Net
Diamantine Mesh
Reflective Coating
Shock Absorber
Stealth Coating
State-of-the-Art",,400,1
Military-Grade Combat Suit,Vanguard Tactical Assault Suit,6,4,3,,2,"Advanced Materials
Audio Suite
Ballistic Net
Diamantine Mesh
Reflective Coating
Shock Absorber
Stealth Coating
State-of-the-Art",,800,2
Ballistic Vest,ArmaShield Kevlar Vest,15,4,1,,1,"Advanced Materials
Ballistic Net
Diamantine Mesh
Reflective Coating",Can never be repaired.,150,2
Tactical Vest with Modular Plates,TacMod Combat Vest,8,5,1,,0,-,"Replacement plates can be installed by spending 6 AP, and they cost half the value of the vest - this restores all durability.",200,2
Space Suit,Starlite Enviro-Suit,8,1,0,"Vacuum-Sealed, -3 Speed",1,"Advanced Materials
Anti-Corrosive
Audio Suite
Ballistic Net
Diamantine Mesh
Droppack
Emergency Systems
Heat Shielding
Insulation
Radiation Shielding
Reflective Coating
Shock Absorber
State-of-the-Art
Stealth Coating
Visual Enhancer",Loses its qualities when durability breaks.,600,2
Combat-Ready Space Suit,AstralGuard Tactical Exo-Suit,12,3,2,"Vacuum-Sealed, -2 Speed",3,"Advanced Materials
Anti-Corrosive
Audio Suite
Ballistic Net
Diamantine Mesh
Droppack
Emergency Systems
Heat Shielding
Insulation
Radiation Shielding
Reflective Coating
Shock Absorber
State-of-the-Art
Stealth Coating
Visual Enhancer",Loses its qualities when durability breaks.,1200,3
Medi Suit,Medicorp Rescue Armor,6,3,1,Auto Medikit,2,"Advanced Materials
Audio Suite
Ballistic Net
Diamantine Mesh
Reflective Coating
Sealed
Shock Absorber
State-of-the-Art
Stealth Coating
Visual Enhancer","Auto Medikit replenishes 5 health automatically once until refilled (max. once per encounter, refill costs 50 Credits). It halves the duration of all bleeding effects (round down).",500,3
Combat Armor,Cerberus Tactical Shell,12,5,3,-2 Speed.,4,"Advanced Materials
Anti-Corrosive
Audio Suite
Ballistic Net
Diamantine Mesh
Droppack
Emergency Systems
Heat Shielding
Insulation
Radiation Shielding
Reflective Coating
Sealed
Servos
Shock Absorber
State-of-the-Art
Stealth Coating
Visual Enhancer",,2000,4
Power Armor - Miner,TerraCore Excavation Exosuit,20,6,3,"Battery (12h), -2 Speed",3,"Advanced Materials
Anti-Corrosive
Audio Suite
Ballistic Net
Battery Extension
Diamantine Mesh
Emergency Systems
Heat Shielding
Insulation
Radiation Shielding
Reflective Coating
Sealed
Servos
Shock Absorber
State-of-the-Art
Stealth Coating
Visual Enhancer","Adds +4 Strength to the wielder.
When the armor reaches 0 durability, the user becomes immobile until they exit the armor.",4000,5
Power Armor - Battle,Havoc Industries Warframe,30,8,4,"Battery (4h), Defensive (1), -2 Speed, Vacuum-Sealed",6,"Advanced Materials
Anti-Corrosive
Audio Suite
Ballistic Net
Battery Extension
Diamantine Mesh
Droppack
Emergency Systems
Heat Shielding
Insulation
Radiation Shielding
Reflective Coating
Servos
Shock Absorber
State-of-the-Art
Stealth Coating
Visual Enhancer","Adds +4 Strength to the wielder.
When the armor reaches 0 durability, the user becomes immobile until they exit the armor.",8000,6
