1d10,adolescence,description,bonus
1,Higher School Education,"Education was seen as the key to success, and either you or your parents were determined to secure the best opportunities for your future. You devoted years to studying various disciplines, pushing yourself to excel academically. This rigorous pursuit of knowledge left you with a wealth of skills and a considerable debt to match. Your time in school may have opened doors, but it also shaped your outlook on the importance of education and the sacrifices required to achieve greatness.","You gain +1 Education, but lose 5 Assets during character creation."
2,Military Draft,"Whether driven by duty, necessity, or lack of alternatives, you found yourself enlisted in military service. The early years were spent on menial tasks and following orders, with little to show for it beyond the routine. However, the discipline, physical training, and occasional combat drills have left a lasting mark on you, forging a strong body and a set of skills that could mean the difference between life and death in the field. The camaraderie and challenges of military life have shaped your character in profound ways.","You gain +2 levels on Firearms or Melee, and +1 maximum health."
3,Gang Member,"At some point in your life, you became part of a gang, whether out of necessity, attraction to their strength, or a search for belonging. The gang became your family, and together you navigated the dangerous and often illegal activities that came with the territory. Whatever the reasons for joining, you learned to survive and thrive in a world where loyalty and toughness were everything. The bonds you formed with your gang are unbreakable, and the experiences have left you streetwise and resilient.","You gain +1 Coolness, but lose 5 Assets during character creation."
4,Personal Projects,"You spent your adolescence deeply engrossed in a personal passion project, whether it was building something, collecting rare items, or mastering a specific skill. Your dedication to this project saw you either working on it yourself or hustling to fund the necessary materials and expertise to bring your vision to life. This project has become a defining part of your identity, and the skills and knowledge you gained during this time continue to influence your life.","You obtain one item, cyberware, drone, weapon or armor up to a value of 1000 Credits (or vehicle up to a value of 2 Assets) with one unique modification or upgrade - discuss with the GM to come up with rules for it.

If you lose the item later, you can spend two downtimes to re-create it."
5,Honorary Work,"During your formative years, you dedicated yourself to honorary work, serving a reputable organization, a city, or perhaps a political campaign. Your efforts earned you a reputation as a reliable and trustworthy member of society, someone who contributes to the greater good. This experience not only broadened your perspective but also instilled a strong sense of duty and civic responsibility that continues to guide your actions.","Your honorary deeds are logged in the books of the officials. If you get in trouble, you can use this to your benefit to gain a +3 pool modifier on attempts to mitigate your own consequences.

Additionally, you have one powerful contact from that time (like a politician, city leader or similar) who will help you out whenever possible."
6,Discovering Worlds,"Fortune smiled on you when you secured a position as one of the youngest crew members aboard a ship. Whether it was a colony vessel, a merchant trader, or a military gunship, your time aboard allowed you to witness the vastness of the universe and the wonders of alien worlds. While your duties may have been modest, the experiences you gained and the sights you saw have left you with a deep sense of curiosity and a longing for exploration.","You discovered and kept an alien artifact, but so far no one was able to tell you how it works or what it does."
7,Drifter,"Your adolescence was marked by aimlessness, as you drifted from place to place without a clear purpose or direction. Living in the moment and embracing whatever life threw at you, you experienced a wide array of situations and met many different people. While you may not have had a set goal, the adventures and encounters along the way taught you valuable life lessons and skills. Though your path was uncertain, you emerged with a wealth of practical experience and a flexible mindset.","In the next step of character creation, gain +3 skill points that you can freely distribute."
8,Criminal Past,"What started as small, morally ambiguous jobs eventually escalated into a full-blown life of crime. The allure of quick rewards and the thrill of danger led you deeper into illegal activities, shifting your sense of right and wrong. Whether you pulled off daring heists or found yourself involved in darker deeds, your actions left a mark on the record books—and on your conscience. The risks may have been high, but so were the rewards, and you emerged from this past with the skills of a seasoned criminal.","You did some terrible crimes for which some systems are still looking for you. However, your deeds yielded either 2000 Credits or 5 Assets."
9,Addict,"Curiosity, peer pressure, or unfortunate circumstances led you down a dangerous path of drug addiction during your adolescence. Those years were spent in a haze, chasing the next high and doing whatever it took to sustain your habit. It was a dark time, but you eventually clawed your way out, emerging with a steely resolve and a deeper understanding of the struggles others face. The experience left you scarred, but also stronger and more determined than ever.","You gain +1 Constitution.

Drugs (like Stim Packs, Pain Killers etc.) don't provide any of the positive effects for you any more."
10,Labor,"Your teenage years were spent performing hard labor under difficult conditions, working to make ends meet. The physical toll of the work strengthened your body, but exposure to harsh environments and hazardous materials left you dependent on immunity boosters to maintain your health. While the work was grueling, it also instilled a strong work ethic and an appreciation for the value of perseverance. You learned to endure and push through adversity, no matter the cost.","You gain +1 Strength, but you need to take daily medicine worth 10 Credits per pill. If you do not take your medicine, you suffer -1 pool penalty on all checks."
