drone,droneName,description,specialRules,size,ai,speed,hull,armorDurability,primarySoak,secondarySoak,minion,cost,assetCost,rarity
Spy Crawler,ShadowCrawler S-12,"The ShadowCrawler S-12 is a stealthy, ground-based reconnaissance drone with six legs designed to infiltrate and gather intelligence in the most secure environments. Its low profile, quiet movement, and advanced camouflage technology allow it to sneak into enemy territory undetected, relaying real-time data back to its operator. Equipped with sensitive audio-visual sensors, the ShadowCrawler is perfect for espionage missions and covert operations.",Enemies suffer -3 pool to detect this drone.,2,4 | 2,4,4,2,2,0,yes,800,-,3
Hoverdrone,Skyeye HX-3,"The SkyEye HX-3 is a versatile aerial drone that excels in surveillance and support roles. Hovering silently above the battlefield or urban landscapes, it provides a bird's-eye view of the area, equipped with high-resolution cameras, infrared sensors, and long-range communication systems. The SkyEye can relay crucial tactical information, assist in target acquisition, or provide overwatch for ground units, making it an indispensable tool in any operation.","Can have a holdout pistol installed, which needs to be paid separately.",2,4 | 2,10,4,1,1,0,yes,500,-,1
Holo-Projection Drone,Orion Illusionist Z3,"This orb-shaped, fist-sized flying drone uses gravitational technology to float silently, while its chassis is equipped with holo-projectors and speakers to create decoys, camouflage, or a distraction. It can mimic the appearance of up to a human-sized object, allowing for tactical misdirection. Bigger images dilute the density of the hologram, making it more obvious.","Can project a holographic image for up to a few hours, creating a decoy. Enemies must succeed on a Vigilance or Investigation d3 check to determine that it is an illusion.",2,4 | 2,7,3,1,1,0,yes,1200,-,3
Combat Medic Drone,Medivac R-8,"The Medivac R-8 is a dedicated medical support drone designed to assist injured soldiers on the battlefield. Equipped with advanced medical tools, including auto-injectors, bandage applicators, and diagnostic scanners, the Medivac can stabilize wounded personnel, administer first aid, and even perform minor surgeries. Its autonomous AI prioritizes the most critical cases, while its compact size allows it to navigate through debris and hazardous environments to reach the injured.","Counts as having a Medkit, and can store up to three injectionable drugs.",3,5 | 3,6,5,3,3,1,yes,1500,-,2
Sentry Drone,Ares Guardian SD-3,"The Guardian SD-3 is an immobile, automated defense drone designed to secure perimeters and protect vital assets. Equipped with motion detectors, infrared sensors, and a mounted weapon (up to the size of an assault rifle), the Guardian can overwatch designated areas and engage intruders with lethal precision.",Weapon needs to be paid extra.,5,4 | 4,0,6,6,5,1,no,1800,-,3
Assault Walker,Azerra Warfang A-24,"The Warfang A-24 is a heavily armored quadrupedal drone designed for frontline combat. Equipped with up to two firearms and reinforced plating, the Warfang can engage enemy infantry and light vehicles with devastating firepower. Its sturdy legs allow it to traverse rough terrain, and its integrated AI can autonomously seek and destroy targets or operate under direct control from its commander.","Counts as having the ""Dual Wield"" talent.
Weapons need to be paid extra.",6,4 | 3,8,10,6,3,1,no,3000,-,4
Mobile Platform,Ares Titanshield MP-9,"The TitanShield MP-9 is a compact, track-based drone designed to provide mobile cover and fire support for infantry units. Resembling a heavily armored block on tracks, the TitanShield can be deployed in the field to advance with troops, offering them a moving barrier against enemy fire. Its reinforced plating absorbs incoming shots, while an integrated weapon—ranging from a machine gun to a grenade launcher—provides additional offensive capability. The TitanShield is the perfect companion for soldiers in need of both protection and firepower on the move.","Provides cover to someone hiding behind this drone. If an attack misses them by only being one success short, it hits the drone instead.
Weapon needs to be paid extra.
Counts as having the ""Tactical Advance"" talent.",8,4 | 3,5,12,10,6,2,no,3000,-,4
Servitor,Mechserve 7000,"The humanoid Servitor is an automated service drone designed for logistical and maintenance tasks in military and industrial settings. Whether repairing equipment, transporting supplies, or performing routine diagnostics, a Servitor is an all-purpose workhorse that ensures operations run smoothly. Its modular design allows it to be adapted for various roles, from field mechanic, medic, hacker, bodyguard etc.","Requires a specific configuration upon purchase. The drone then counts as having +2 skill levels in that skill.

It also comes with pieces of equipment (not weapons) integrated as part of its model configuration, up to a total size of 4 - the chosen items require a minimum size of 1.",9,5 | 1,6,10,4,2,0,no,8000,7,5
Simulant,Callisto Doppelganger,"The Doppelganger X5 is an advanced humanoid drone designed for infiltration, decoy, or impersonation missions. Outfitted with realistic synthetic skin and programmable behavior patterns, the Simulant can mimic human appearance and actions convincingly. It’s perfect for espionage, psychological operations, or as a distraction in high-stakes missions. The Doppelganger’s sophisticated AI enables it to interact naturally in social environments, making it difficult to distinguish from the real thing.","When meeting a simulant, an Empathy d3 check can be attempted after conversing for at least 5 Minutes. On a success, the simulant's nature becomes known.",9,6 | 3,7,10,6,2,0,no,15000,12,6
Unmanned Mech,Ravager UM-13,"The Ravager UM-13 is a heavily armed and armored unmanned combat mech, capable of engaging in frontline warfare without risking human lives. Standing tall with a reinforced frame, the Ravager is equipped with an array of up to three weapon platforms, designed to take on everything from infantry to armored vehicles. Controlled remotely or through advanced AI, the Ravager dominates the battlefield with sheer firepower and durability.","There is an alternative configuration where the Mech has two regular arms (with a Strength of 20) but with only one slot for an integrated weapon platform. If the Mech uses a firearm by holding it with its arms, it is considered to suffer a -1 pool penalty.
Weapons need to be paid extra.",12,5 | 3,9,30,10,6,2,no,12500,9,5
