category,item,name,description,size,cost,rarity
Gadget,Holo Projector,VividCast Holobeam,"A small, portable device that projects 3D holographic images, useful for displaying maps, blueprints, or decoys.",1,250,1
Gadget,Data Pad,InfoGlide,"A handheld device for accessing, storing, and transferring data. Can be used to access archives, or communicate remotely.

Device Integrity: 2
Firewall: 6
IC Level: 3
Signal Range: 10",1,70,0
Gadget,Energy Cell,PowerCore V5,"A compact, rechargeable power source used to fuel various gadgets, tools, and small vehicles.",2,150,1
Gadget,Field Scanner,Terrascan Pro,"A portable device that scans the environment for life forms, energy signatures, or chemical compositions wihin a 5km radius. Ideal for exploration and investigation.",2,350,3
Gadget,Plasma Torch,Internatorch,A high-powered cutting tool that uses plasma to slice through metal and other tough materials. Essential for breaching barriers.,1,100,1
Gadget,Magnetic Grapple,Ascension Sling,A handheld grapple gun that fires a magnetized claw. Ideal for quick ascents or for retrieving metal objects from a distance. Comes with a retractable 15m long cable that can support up to 300 kg.,2,250,2
Gadget,Anti-EMP Module,Orion EMP Zero Pack,"This module can be worn, and will neutralize one strong EMP wave that would otherwise destroy or disturb worn equipment. The module burns out upon absorbing an EMP wave.",1,100,3
Survival,Portable Shelter,Envirodome Compact,"A collapsible, lightweight shelter that provides protection from the elements and hostile environments. Can be set up quickly in any terrain.",5,400,2
Survival,Atmospheric Filter,AirPurity XT,"A breathing apparatus that filters and purifies the air, making it safe to breathe in toxic or low-oxygen environments.",1,200,2
Survival,Ration Pack,Nutripak Sustain,"Compact, nutrient-rich food supplies designed for long-term storage and consumption during expeditions or emergencies. Each pack sustains for one day.",1,10,0
Survival,Hydration Synthesizer,Hydrasync,"A portable device that extracts and purifies water from the environment, ensuring a clean and safe water supply in any situation.",2,120,2
Survival,Thermal Blanket,Heatwave Ultra,A heat-reflective blanket that provides warmth and insulation in extreme cold conditions. Compact and easy to carry.,1,20,0
Survival,Survival Beacon,Rescuesignal Mk II,A distress signal device that broadcasts your location to nearby allies or rescue teams. Equipped with a variety of signal modes.,2,200,2
Survival,Grav Boots,G-Force Boots,"Boots equipped with gravity technology or magnets, allowing the wearer to traverse difficult terrain, including zero-gravity environments.",2,150,3
Survival,Climbing Gear,AscendTech Climbers,"Ropes, hooks and other devices to help safely climb buildings or rocks.",2,120,2
Survival,Solar Charger,Sunpower Fold,"A portable solar panel that can charge batteries and devices using sunlight, essential for long-term survival away from civilization.",2,80,2
Survival,Atmospheric Analyzer,AeroScout Pro,"A handheld device that analyzes the local air quality, detecting toxins, radiation levels, and oxygen content.",1,120,2
Medicine,Biofoam Dispenser,Medifoam XT,A medical tool that injects biofoam into wounds to stop bleeding. Requires 4 AP to use.,1,30,1
