1d10,childhood,description,bonus
1,Orphaned,"You grew up without parents, whether due to tragedy, abandonment, or circumstances beyond your control. Raised in an orphanage, by distant relatives, or perhaps even fending for yourself, you’ve learned to be self-reliant and resourceful. The absence of a traditional family structure has shaped you into someone who values independence and the bonds you form with others, often seeking belonging in unconventional places.",You gain +2 levels on Survival.
2,Happy Family,"Your childhood was marked by stability, love, and support from a close-knit family. Whether you were an only child or one of many, your upbringing provided you with a strong foundation, nurturing your development and instilling in you a sense of confidence and security. This background has given you a positive outlook on life and a strong moral compass, making you well-adjusted and resilient in the face of adversity.",You gain +1 level on Empathy and 5 Assets.
3,Brought Up By Gang,"From a young age, you found yourself under the wing of a gang or criminal organization, where loyalty and survival were the guiding principles. The streets became your school, and you learned to navigate the harsh realities of life through cunning, strength, and street smarts. Your upbringing in this environment has made you tough, resourceful, and unafraid to bend the rules to get what you need.",You gain +1 level on Skullduggery and Streetwise.
4,Raised By AI,"Your caregivers were advanced AI systems, programmed to nurture and educate you in a world dominated by technology. While these machines provided for your physical needs and education, they lacked the warmth and empathy of human interaction. This upbringing has given you a unique perspective on technology and its capabilities, but it may also have left you with a somewhat detached or analytical view of human emotions and relationships.",You gain +1 level on Computers and Tech.
5,Raised By Aliens,"Whether as a human among them or as one of their own, your childhood was shaped by an alien culture vastly different from humanity’s. Immersed in their customs, languages, and ways of thinking, you’ve developed an understanding of life beyond human norms. This upbringing has made you adaptable and open-minded, with knowledge and insights that set you apart from others who have only known human society.","You learn an alien language of your choice, and gain +3 pool when interacting with that race."
6,Traumatic Childhood,"Your early years were marred by significant trauma, whether from violence, loss, or other deeply scarring experiences. These events have left an indelible mark on your psyche, shaping how you see the world and interact with others. You may have developed coping mechanisms to survive, such as heightened alertness or emotional detachment, and these experiences have made you stronger in some ways but vulnerable in others.","You may regain one edge point at any point each session, but your sleep is often disurbed, resulting in a -2 pool penalty on nightly regeneration."
7,Lab Child,"Your upbringing was not in a traditional home but in a laboratory, where you were the subject of scientific experiments or a product of genetic engineering. Your childhood was filled with tests, observations, and perhaps even modifications. This has given you a unique set of abilities or knowledge, but it may also have left you feeling like an outsider, disconnected from a normal childhood and the world at large.","In the next step of character generation, you spend 3 less skill points, but you gain +4 Cyber Immunity or +2 maximum health."
8,Mysterious Past,"For reasons unknown, your memories of childhood are fragmented or missing entirely. You might remember vague details, or perhaps nothing at all, leaving you with a sense of mystery about your origins. This blank slate has driven you to seek out the truth of your past, but it also means that you’ve had to forge your identity without the usual anchors of a remembered childhood. The uncertainty may haunt you, but it also gives you the freedom to define yourself anew.","You already gain access to your 2nd and 3rd career, instead of unlocking them at the levels 5 and 10 (only your primary career provides you with starting skills and gear).

Once you reach level 10, you gain +2 skill points as you slowly remember parts of your past."
9,Cult Escapee,"Your childhood was spent in a tightly controlled, isolated community that followed the teachings of a charismatic leader or dogmatic belief system. As you grew older, you began to question the teachings and eventually escaped. Your experience has given you insight into manipulation and control, and you may either carry scars from your past or feel a strong sense of purpose in exposing similar threats.",You gain +1 levels on Command and Con Arts.
10,Elite Child,"From a young age, you were selected for an elite educational program, perhaps because of your intellect, talents, or family connections. You were groomed to be the best in your field, with access to the finest resources and mentors. While this has made you highly skilled and knowledgeable, it may also have isolated you from your peers or burdened you with high expectations.",You gain +1 levels on Politics and Science.
