1d20,event,description,bonus
1,Made Lifelong Friend,"You formed a deep and lasting bond with someone who has been there for you through thick and thin. Whether they’re a childhood friend, a fellow soldier, or a mentor, this person has played a significant role in shaping who you are today.","Define the nature and profession of your friend. Once per adventure, if they are available, you may call upon their aid and they will do everything within reason to help you."
2,Lost A Loved One,"The death of someone close to you, whether a family member, friend, or partner, left a deep scar on your heart. The grief may have driven you to seek justice, take on new responsibilities, or changed your outlook on life.",From their death you obtained some belongings worth 2000 Credits or 5 Assets.
3,Witnessed Cruel Crime,"You were an unwilling witness to a heinous crime, such as a murder, assault, or major theft. The event shook you to your core, possibly making you more vigilant, distrustful, or driven to ensure such a thing never happens again.",Gain +1 Coolness.
4,Betrayed By Ally,"Someone you trusted deeply turned on you, leaving you vulnerable or in danger. This betrayal has left you wary of others and may have sparked a desire for revenge or a drive to never be caught off guard again.",Gain the Danger Sense talent.
5,Sudden Windfall,"A sudden stroke of luck, such as an inheritance, lottery win, or valuable discovery, significantly changed your financial situation. This windfall provided opportunities, but also brought new challenges or responsibilities.","Obtain 3000 Credits that you cannot spend during character creation, but that will be cash on hand when you begin the game."
6,Saved A Life,"You were in the right place at the right time and managed to save someone’s life. This act of heroism might have earned you recognition, a loyal friend, or a newfound sense of purpose.","Formulate an NPC with their rough nature, profession and influence. Once during your entire campaign, you can call for their help and they will go out of their way to do what is necessary, even taking massive risks to save your own life. You can also contact them occasionally to obtain information or other minor help."
7,Suffered Devastating Injury,"A severe injury, either physical or psychological, left you changed forever. Whether it was an accident, an act of violence, or a disease, the event forced you to adapt, and it may have led to significant cybernetic enhancements or other coping mechanisms.","You gain Smarteyes (Beta), a Cyber Arm (Beta), Cyber Legs (Alpha) or Cyber Lungs (Beta) for free."
8,Learned A Dark Secret,"You uncovered a hidden truth that has profound implications, whether it involves a powerful organization, a loved one, or a critical event in history. This knowledge could be a source of leverage, danger, or a burden you carry alone.","At any point during the campaign you may claim to know something about a secretive matter. From that point onwards, your character has continued knowledge about that matter (e.g. an alien race, an organization, a corporation etc.) providing you with advantages when dealing with that topic."
9,Made Discovery Or Invention,"Either through sheer coincidence, a stroke of genius or long-term commitment, you were part of a huge discovery or invention. For some reason, that thing never reached the mass market and so you are left with one of the few remaining prototypes.",Gain a unique piece of equipment - discuss the rules with the GM.
10,Encountered Alien Entity,"You came into contact with an alien being, technology, or artifact that profoundly affected you. The encounter may have expanded your understanding of the universe, granted you unique knowledge, or left you with a deep sense of wonder or fear.","You gain +2 skill levels on Xenology, and you possess a unique alien piece of technology (nothing groundbreaking: it could be a tool, a sidearm or similar)."
11,Survived Catastrophe,"A natural disaster, shipwreck, or large-scale attack nearly claimed your life, but you managed to survive against all odds. This experience left you with a heightened sense of survival instinct and possibly a lingering fear of the forces that nearly ended you.","You gain +2 levels on survival and you may ignore the ""Traumatized"" injury without spending edge points."
12,Served Time In Prison,"Whether you were guilty or wrongly convicted, you spent time in prison. The experience hardened you, taught you new skills, or connected you with individuals in the criminal underworld. It also may have left you with a record that haunts your steps.",Gain the Thug Language talent.
13,Experienced Love And Loss,"You fell deeply in love, but circumstances, fate, or tragedy tore you apart. This intense emotional experience has left a lasting impact on you, whether it’s a longing for what was lost or a determination to never let such a thing happen again.",Gain the Seducer talent.
14,Achieved Major Goal,"After years of effort, you finally accomplished something significant—completing a challenging project, winning a major competition, or achieving a personal dream. This success gave you confidence and shaped your future ambitions.",Gain +1 Personality or 5 Assets.
15,Formed A Rivalry,"Over time, you’ve developed a rivalry with someone who challenges you, whether in your career, personal life, or another pursuit. This rivalry pushes you to be better, but it also keeps you constantly on guard, knowing they’re out there.","Gain +2 levels in a skill of your choice, reflecting the nature of the rivalry. Your rival may appear at some point during the campaign, making your life harder."
16,Rescued From Danger,"You found yourself in a perilous situation from which you couldn’t escape on your own, but someone came to your rescue. This event left you with a deep sense of gratitude or perhaps a lingering vulnerability, and you may feel indebted to your savior.",Gain +1 level on empathy and +1 maximum edge points.
17,Joined A Secret Organization,"You were recruited into a clandestine group with its own agenda, whether for good or ill. The organization provided you with resources, training, or information, but it also demanded loyalty and secrecy, tying you to their cause.","Come up with a description about the nature of the organization. You either gain +3 levels in a suitable skill, or items worth 3000 Credits that reflect that group.
The organization may contact you from time to time, demanding you to perform smaller, secretive tasks - if you refuse, they may begin treating you like a traitor."
18,Lost Everything,"Through a series of unfortunate events—such as a financial collapse, betrayal, or a failed venture—you lost everything you once had. This devastating loss forced you to start over, rebuilding your life from the ground up with a new perspective on what truly matters.","You do not gain any of the starting items or assets of your primary career.
Instead, you are granted a total of 2000 Credits to spend during character creation (instead of the 1000 Credits usually given to every character on top of their starting gear).
As a compensation, you gain +5 skill points to spend during the next step of character creation."
19,Participated In A Historic Event,"You played a role in an event of great significance, such as a political revolution, a major battle, or a scientific breakthrough. Your involvement in this event has become a part of your identity, and it continues to influence your life.",Gain the Galaxy-Wide Fans talent.
20,Met A Mentor,"A wise and experienced individual took you under their wing, teaching you valuable skills and imparting crucial knowledge. This mentor profoundly shaped your development, and their influence can still be felt in your decisions and outlook.",You start with one additional talent in your primary career.
