cyberware,cyberwareName,tier,description,cyberImmunityCost,cost,rarity
Reflexbooster,ReflexaGen V2,Alpha,"Increase your Action Points by +2, but if you have 2 or less Action Points during a round, you cannot perform any actions (but reactions).",5,1000,3
,NeuraBoost XR,Beta,"Increase your Action Points by +3. Additionally, even if you have up to -5 AP, you can still perform reactions.",6,3000,4
,Velocitec Reflex Enhancer,Omega,"Increase your Action Points by +4. Additionally, you gain +1 pool on dodge and parry actions.",8,7500,5
Move By Wire,OptimaSync MBW-3000,Alpha,"You gain +1 Action Point, +2 Speed and +2 pool bonus when you attempt to dodge or parry.",10,4000,4
,KinetiDrive Mk IV,Beta,"You gain +1 Action Point, +2 Speed and +2 pool bonus when you attempt to dodge or parry. You also gain a free trigger on dodges, parries and melee attacks.",12,6000,5
,WireStride 2.1,Omega,"You gain +1 Action Point, +2 Speed and +2 pool bonus when you attempt to dodge or parry. You also gain a free trigger on dodges, parries and melee attacks. You may now attempt to parry ranged attacks if you wield a suitable melee weapon, but can only do so up to two times per round.

A successful Riposte will ricochet the bullets back at any target within range 10 of you, for half the damage.",14,10000,6
Dermal Armor,Duraskin Aegis,Alpha,You gain +1 Soak.,5,800,3
,DermalShield D600,Beta,You gain +1 Soak and may discard the first severity 1 injury during each encounter.,7,1200,3
,IntegriPlate Pro,Omega,You reduce all incoming damage by 2 before applying any other factors (even your usual Soak or qualities like Penetrating).,8,2500,4
Neural Interface,NeuraLink X7,Alpha,Allows to connect the brain to compatible devices. Being directly linked to a piece of equipment (like a vehicle) provides a +1 pool bonus.,4,900,2
,SynapTech NI-5,Beta,"Allows to connect the brain to compatible devices. Being directly linked to piece of equipment provides a +1 pool bonus.

The Beta variant prevents any Biofeedback damage that directly results from the linked device.",3,1400,3
Smarteyes,Visionix SmartOptic,Alpha,Allows to record what you see or overlay your vision with certain feeds or visual aids.,4,1000,2
,Percepta XR-400,Beta,"Allows to record what you see or overlay your vision with certain feeds or visual aids, and you can now zoom up to 16x, or even apply filters that go beyond human vision (like thermal, infrared, ultraviolet).",4,1800,3
Smartears,Sonix Auralis Pro,Alpha,"Allows to record what you hear, receive audio comms and filter audio, allowing to eavesdrop even in crowded areas.",2,600,2
,EchoCore Audio Suite,Beta,"Allows to record what you hear, receive audio comms and filter audio, allowing to eavesdrop even in crowded areas. Converts up to three dice from your Vigilance roll into Expertise dice when it's about hearing something hidden or distant.",3,1000,3
Smartnose,Aromatrace Analyzer,Alpha,"Allows you to record smells, simulate smells, as well as exactly matching pheromones to recognize / trace people.",2,600,2
,Chemisense Olfactor-X,Beta,"Allows you to record smells, simulate smells, as well as exactly matching pheromones to recognize / trace people. Additionally, you can recognize specific chemical compounds or gasses.",3,900,3
Smartskin,Tactilis Sensora,Alpha,"Amplifies tactile sensitivity, enabling the detection of fine textures, pressure changes, and micro-vibrations.",2,600,2
,Neo Touch,Beta,"Advanced smart skin with enhanced haptic feedback, designed for detailed tactile analysis and heightened environmental awareness.",3,900,3
Smartlink,Dermalgunner Minion,Alpha,"Removes the necessity for Smarteyes to be connected to gun's smartlink through a wireless signal, making it prone to be hacked. The Smartlink creates a direct connection that is unhackable.",2,300,3
Sixth Sense,EchoViz Array,Alpha,"Provides advanced echolocation to map surroundings, revealing hidden objects and movements beyond obstacles. The user can perceive rough geometry and movement up to five squares around obstacles and corners.",4,1000,3
,Perceptis Omnisense,Beta,"Revolutionary spatial awareness technology that integrates multi-spectrum detection, offering intuitive visualization of areas out of sight. The user can get a fairly detailed glimpse at things up to ten squares around obstacles and corners.",6,2000,4
Skeletal Reinforcement,EndoSteel Mk III,Alpha,Increases your maximum health by +3.,4,600,3
,BoneForge S2,Beta,Increases your maximum health by +3 and you become immune to losing your limbs from regular combat-related outcomes.,4,1100,4
Synthetic Muscles,Myoflex Bionic Fiber,Alpha,Grants +1 Agility.,6,2000,4
,KinetiFibers Pro,Beta,Grants +1 Agility and Constitution.,6,3500,5
Cybernetic Arm,TitanArm A200,Alpha,"Replaces one arm with a visible cybernetic variant. When using that arm, you gain +1 Strength.
You may install up to one pistol-sized firearm 1-handed melee weapon or tool that can retract from within the internals - you have to pay for the weapon or tool seperately.",7,1400,3
,PowerLimb CX,Beta,"Replaces one arm with a visible cybernetic variant. When using that arm, you gain +2 Strength.
You may install up to one pistol-sized firearm 1-handed melee weapon or tool that can retract from within the internals - you have to pay for the weapon or tool seperately.",7,2000,4
,Armatek Series 7,Omega,"Replaces one arm with a natural looking cybernetic limb that is nearly indetectable as such. When using that arm, you gain +2 Strength. You may install up to one pistol-sized firearm 1-handed melee weapon or tool that can retract from within the internals - you have to pay for the weapon or tool seperately.",5,3500,5
